dataset,table,ordinal,field,rows,null_rows,null_percent,approx_distinct,min_length,max_length,dictionary_present,declared_data_type,declared_primary_key
Property Map Requests,map_requests,15,request_source_id,1021252,50,0.004896,5,1,2,True,number,False
Property Map Requests,map_requests,16,load_timestamp,1021252,0,0.0,1,24,24,False,,False
Property Valuation Records,valuations,1,actual_area,90771,5,0.005508,27982,4,11,True,number,False
Property Valuation Records,valuations,2,actual_worth,90771,0,0.0,57892,6,14,True,number,False
Property Valuation Records,valuations,3,area_id,90771,79,0.087032,217,3,3,True,number,False
Property Valuation Records,valuations,4,area_name_ar,90771,79,0.087032,194,3,26,True,nvarchar,False
Property Valuation Records,valuations,5,area_name_en,90771,79,0.087032,208,4,33,True,nvarchar,False
Property Valuation Records,valuations,6,instance_date,90771,0,0.0,5171,23,23,True,time,False
Property Valuation Records,valuations,7,procedure_area,90771,838,0.923202,28589,4,11,True,number,False
Property Valuation Records,valuations,8,procedure_id,90771,0,0.0,1,2,2,True,number,False
Property Valuation Records,valuations,9,procedure_name_ar,90771,0,0.0,1,10,10,True,nvarchar,False
Property Valuation Records,valuations,10,procedure_name_en,90771,0,0.0,1,19,19,True,nvarchar,False
Property Valuation Records,valuations,11,procedure_number,90771,0,0.0,9290,1,5,True,number,False
Property Valuation Records,valuations,12,procedure_year,90771,0,0.0,29,4,4,True,number,False
Property Valuation Records,valuations,13,property_sub_type_ar,90771,5544,6.107678,66,3,37,True,nvarchar,False
Property Valuation Records,valuations,14,property_sub_type_en,90771,5544,6.107678,60,4,37,True,nvarchar,False
Property Valuation Records,valuations,15,property_sub_type_id,90771,5544,6.107678,68,1,3,True,number,False
Property Valuation Records,valuations,16,property_total_value,90771,0,0.0,54749,6,14,True,number,False
Property Valuation Records,valuations,17,property_type_ar,90771,0,0.0,2,3,4,True,nvarchar,False
Property Valuation Records,valuations,18,property_type_en,90771,0,0.0,3,4,8,True,nvarchar,False
Property Valuation Records,valuations,19,property_type_id,90771,0,0.0,3,1,1,True,number,False
Property Valuation Records,valuations,20,row_status_code,90771,0,0.0,3,7,9,True,nvarchar,False
Property Valuation Records,valuations,21,load_timestamp,90771,0,0.0,1,23,23,False,,False
Real Estate Brokers,brokers,1,broker_name_ar,8724,0,0.0,10826,6,63,True,NVARCHAR2(200),False
Real Estate Brokers,brokers,2,broker_name_en,8724,0,0.0,6991,6,75,True,NVARCHAR2(200),False
Real Estate Brokers,brokers,3,broker_number,8724,0,0.0,9527,2,5,True,NUMBER(10),False
Real Estate Brokers,brokers,4,fax,8724,8724,100.0,0,,,True,NVARCHAR2(30),False
Real Estate Brokers,brokers,5,gender,8724,2,0.022925,2,1,1,True,BOOLEAN,False
Real Estate Brokers,brokers,6,license_end_date,8724,0,0.0,703,10,10,True,DATE (DD-MM-YYYY),False
Real Estate Brokers,brokers,7,license_start_date,8724,1,0.011463,2498,10,10,True,DATE (DD-MM-YYYY),False
